Time,Channel A
(ms),(V)

7.88495996,-0.06057924
7.88623996,-0.06482132
7.88751996,-0.06921598
7.88879996,-0.07361065
7.89007996,-0.07800531
7.89135996,-0.08255257
7.89263996,-0.08694723
7.89391996,-0.09118931
7.89519996,-0.09530930
7.89647996,-0.09900205
7.89775996,-0.10254220
7.89903996,-0.10592970
7.90031996,-0.10907320
7.90159996,-0.11191140
7.90287996,-0.11444440
7.90415996,-0.11670280
7.90543996,-0.11868650
7.90671996,-0.12012090
7.90799996,-0.12125000
7.90927996,-0.12195200
7.91055996,-0.12225720
7.91183996,-0.12210460
7.91311996,-0.12152470
7.91439996,-0.12039550
7.91567996,-0.11871700
7.91695996,-0.11642810
7.91823996,-0.11358990
7.91951996,-0.11020230
7.92079996,-0.10623490
7.92207996,-0.10168770
7.92335996,-0.09674367
7.92463996,-0.09134190
7.92591996,-0.08566546
7.92719996,-0.07959227
7.92847996,-0.07321391
7.92975996,-0.06653035
7.93103996,-0.05972472
7.93231996,-0.05264443
7.93359996,-0.04541154
7.93487996,-0.03805658
7.93615996,-0.03067110
7.93743996,-0.02316355
7.93871996,-0.01550340
7.93999996,-0.00784326
7.94127996,-0.00018311
7.94255996,0.00714133
7.94383996,0.01464888
7.94511996,0.02188177
7.94639996,0.02899258
7.94767996,0.03579821
7.94895996,0.04245125
7.95023996,0.04867702
7.95151996,0.05462813
7.95279996,0.06030457
7.95407996,0.06598102
7.95535996,0.07123020
7.95663996,0.07632679
7.95791996,0.08114871
7.95919996,0.08597064
7.96047996,0.09051790
7.96175996,0.09475997
7.96303996,0.09900205
7.96431996,0.10296950
7.96559996,0.10681480
7.96687996,0.11035490
7.96815996,0.11362040
7.96943996,0.11658070
7.97071996,0.11929690
7.97199996,0.12170780
7.97327996,0.12396620
7.97455996,0.12579730
7.97583996,0.12723170
7.97711996,0.12836090
7.97839996,0.12894070
7.97967996,0.12921540
7.98095996,0.12921540
7.98223996,0.12878810
7.98351996,0.12808620
7.98479996,0.12707910
7.98607996,0.12579730
7.98735996,0.12424090
7.98863996,0.12225720
7.98991996,0.11999880
7.99119996,0.11743520
7.99247996,0.11459700
7.99375996,0.11148410
7.99503996,0.10809660
7.99631996,0.10425120
7.99759996,0.10000920
7.99887996,0.09546190
8.00015996,0.09051790
8.00143996,0.08539079
8.00271996,0.07986694
8.00399996,0.07406842
8.00527996,0.06796472
8.00655996,0.06186102
8.00783996,0.05563524
8.00911996,0.04925688
8.01039996,0.04287850
8.01167996,0.03634755
8.01295996,0.02984710
8.01423996,0.02331614
8.01551996,0.01666311
8.01679996,0.00997955
8.01807996,0.00347911
8.01935996,-0.00289926
8.02063996,-0.00939970
8.02191996,-0.01593066
8.02319996,-0.02230903
8.02447996,-0.02841273
8.02575996,-0.03436384
8.02703996,-0.04004028
8.02831996,-0.04528947
8.02959996,-0.05023347
8.03087996,-0.05462813
8.03215996,-0.05859554
8.03343996,-0.06213569
8.03471996,-0.06527909
8.03599996,-0.06811731
8.03727996,-0.07037568
8.03855996,-0.07220680
8.03983996,-0.07364117
8.04111996,-0.07477035
8.04239996,-0.07562487
8.04367996,-0.07605213
8.04495996,-0.07617420
8.04623996,-0.07589953
8.04751996,-0.07535020
8.04879996,-0.07434309
8.05007996,-0.07306131
8.05135996,-0.07150487
8.05263996,-0.06952117
8.05391996,-0.06726280
8.05519996,-0.06485184
8.05647996,-0.06228828
8.05775996,-0.05945006
8.05903996,-0.05633717
8.06031996,-0.05294961
8.06159996,-0.04953154
8.06287996,-0.04614399
8.06415996,-0.04245125
8.06543996,-0.03875851
8.06671996,-0.03506577
8.06799996,-0.03137303
8.06927996,-0.02783288
8.07055996,-0.02429273
8.07183996,-0.02075259
8.07311996,-0.01736503
8.07439996,-0.01409955
8.07567996,-0.01095614
8.07695996,-0.00799585
8.07823996,-0.00515763
8.07951996,-0.00231941
8.08079996,0.00021363
8.08207996,0.00259407
8.08335996,0.00473037
8.08463996,0.00671407
8.08591996,0.00842311
8.08719996,0.00997955
8.08847996,0.01126133
8.08975996,0.01239051
8.09103996,0.01324503
8.09231996,0.01382488
8.09359996,0.01422163
8.09487996,0.01464888
8.09615996,0.01480148
8.09743996,0.01507614
8.09871996,0.01522874
8.09999996,0.01522874
8.10127996,0.01507614
8.10255996,0.01495407
8.10383996,0.01480148
8.10511996,0.01464888
8.10639996,0.01452681
8.10767996,0.01422163
8.10895996,0.01394696
8.11023996,0.01351970
8.11151996,0.01324503
8.11279996,0.01266518
8.11407996,0.01223792
8.11535996,0.01181066
8.11663996,0.01141392
8.11791996,0.01098666
8.11919996,0.01040681
8.12047996,0.00982696
8.12175996,0.00927763
